smiles,freesolv
c1ccc(c(c1)[N+](=O)[O-])O,-4.58
COC=O,-2.78
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,-2.98
CC(OC(=O)C)OC(=O)C,-4.97
Cc1ccccc1,-0.9
C1CCC(CC1)N,-4.59
CC#C,-0.48
CCCCCCCC(=O)OC,-2.04
CCCCCCO[N+](=O)[O-],-1.66
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,-3.2
COC(=O)C(F)(F)F,-1.1
CCC[C@H](C)CC,2.71
CCC(=O)OCC,-2.68
Cc1cccnc1,-4.77
CCOC(=O)C[C@H](C(=O)OCC)SP(=S)(OC)OC,-8.15
COCCN,-6.55
CC(C)Cc1ccccc1,0.16
CC[C@H](C)Cl,0.0
CCCCCCC=O,-2.67
CCCCCBr,-0.1
CCCCCC(=O)O,-6.21
c1cc2ccc3cccc4c3c2c(c1)cc4,-4.52
c1cc(cc(c1)Cl)O,-6.62
C(=C(Cl)Cl)(Cl)Cl,0.1
C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl,-4.23
CCCl,-0.63
CCC(=O)N,-9.4
C[C@@H]1CCCC[C@@H]1C,1.58
CCCC(C)(C)O,-3.92
CCOC(=O)CCC(=O)OCC,-5.71
CC(=O)Oc1ccccc1C(=O)O,-9.94
CCOCCO,-6.69
c1cnccc1C#N,-6.02
CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-],-11.95
CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],-6.74
CCCC=C,1.68
C1CC=CC1,0.56
C1CCCC(CC1)O,-5.48
c1c(c(=O)[nH]c(=O)[nH]1)F,-16.92
CC(C)C=C,1.83
CC(=O)O,-6.69
CC(C)(C)Br,0.84
c1ccc(c(c1)N)[N+](=O)[O-],-7.37
CCc1ccc(cc1)C,-0.95
C(=C/Cl)\Cl,-0.78
CN(C)CCOC(c1ccccc1)c2ccccc2,-9.34
C1(C(C(C1(F)F)(F)F)(F)F)(F)F,3.43
c1cc(ccc1N)N(=O)=O,-9.82
COc1ccccc1,-2.45
Cn1ccnc1,-8.41
CCC(C)(C)O,-4.43
CC(C)(C)Cl,1.09
CCN,-4.5
c1ccc2cc3ccccc3cc2c1,-3.95
COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],-7.19
CC/C=C\C,1.31
c1ccc(cc1)CCCO,-6.92
CC,1.83
CC(C)I,-0.46
CC(=O)OCCOC(=O)C,-6.34
c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,-3.56
CO,-5.1
CC(C)CBr,-0.03
COCOC,-2.93
C[C@H](CC(C)C)O,-3.73
CCCCOCCO,-6.25
CCOP(=S)(OCC)SCSCC,-4.37
c1ccc(cc1)Cl,-1.12
c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl,-2.28
c1ccc(cc1)CBr,-2.38
C1CCNC1,-5.48
CCCCCC(=O)OCC,-2.23
CCCCC(=O)O,-6.16
CCCC=O,-3.18
CCCOC(=O)C,-2.79
c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl,-3.37
CCCC#N,-3.64
C/C=C/C=O,-4.22
C=C(c1ccccc1)c2ccccc2,-2.78
CCC(=O)CC,-3.41
Cc1c[nH]cn1,-10.27
COC(=O)CCl,-4.0
CCc1ccccc1C,-0.85
CCCI,-0.53
C(F)(F)Cl,-0.5
CCSCC,-1.46
CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,-6.5
CCC/C=C/C=O,-3.68
CCCCCCC,2.67
C=CC=C,0.56
c1cc(ccc1C=O)O,-8.83
CCCCCCCBr,0.34
c1cc(ccc1N)Cl,-5.9
CN1CCNCC1,-7.77
CCCC(=O)OCCC,-2.28
Cc1ccccn1,-4.63
CC(C)(C)c1ccc(cc1)O,-5.91
C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,-0.64
CCCCCCCCC=O,-2.07
CCc1cccc(c1N(COC)C(=O)CCl)CC,-8.21
C(C(F)(F)F)Cl,0.06
CCCc1ccc(cc1)O,-5.21
Cc1ccc(cc1)C,-0.8
c1ccc(cc1)CO,-6.62
c1ccc2c(c1)Oc3ccc(cc3O2)Cl,-3.1
c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl,-2.16
CNC,-4.29
CCCNCCC,-3.65
CCNCC,-4.07
CCOC,-2.1
CCc1ccc(cc1)O,-6.13
CC(C)(C)c1ccccc1,-0.44
c1ccc(cc1)Br,-1.46
c1cc(ccc1Br)Br,-2.3
CC(C)(C)C,2.51
CCC(C)C,2.38
CCCC[N+](=O)[O-],-3.09
CC(C)c1ccccc1,-0.3
C[C@@H](c1ccc(cc1)CC(C)C)C(=O)O,-7.0
Cc1cc(cc(c1)C)C,-0.9
c1cc(cc(c1)O)[N+](=O)[O-],-9.62
C(C(F)(Cl)Cl)(F)(F)Cl,1.77
COC,-1.91
CCOP(=O)(OCC)OCC,-7.5
C(I)I,-2.49
NN,-9.3
CCCCCC#C,0.6
CCOc1ccccc1,-2.22
COc1c(ccc(c1C(=O)O)Cl)Cl,-9.86
c1c(c(=O)[nH]c(=O)[nH]1)I,-18.72
CCBr,-0.74
CC(C)CCC(C)(C)C,2.93
Cc1cc(ccc1Cl)O,-6.79
c1c(c(=O)[nH]c(=O)[nH]1)Br,-18.17
CCCCl,-0.33
c1ccc(c(c1)Cl)Cl,-1.36
CCCS,-1.1
CCOC=O,-2.56
Cc1ccnc(c1)C,-4.86
C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,-20.52
CCCC(=O)CCC,-2.92
C([N+](=O)[O-])(Cl)(Cl)Cl,-1.45
C1COCCN1,-7.17
CC(C)Cl,-0.25
CCCCCCC(=O)C,-2.88
CC#N,-3.88
COc1ccccc1N,-6.12
CCCCCCCN,-3.79
CCOC(=O)C,-2.94
N,-4.29
CC(=C)[C@H]1CCC(=CC1)C=O,-4.09
c1cc(c(cc1O)Cl)Cl,-7.29
CCCCCOC(=O)C,-2.51
CCCCCCOC(=O)C,-2.26
c1cc(ccc1Cl)Cl,-1.01
CCNc1nc(nc(n1)Cl)NCC,-10.22
C(CCl)CCl,-1.89
CC(=CCC/C(=C/CO)/C)C,-4.45
CC(=C)c1ccccc1,-1.24
c1cc(cc(c1)O)C=O,-9.52
CCCCCCBr,0.18
CN(C)c1ccccc1,-3.45
COP(=O)([C@H](C(Cl)(Cl)Cl)O)OC,-12.74
CCOC(C)OCC,-3.28
Cc1ccc(cc1)C(=O)C,-4.7
Cc1ccc(cc1)Br,-1.39
c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl,-16.43
c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl,-3.84
CCCC(C)C,2.51
CCCCC/C=C/C=O,-3.43
COc1ccc(cc1)C(=O)OC,-5.33
Cc1ccc(cc1C)O,-6.5
c1ccc2c(c1)C(=O)NC2=O,-9.61
c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-3.04
C1CCC(=O)CC1,-4.91
CCCC[N@](CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.51
c1ccccc1,-0.9
CI,-0.89
Cc1ccc(cc1)O,-6.13
c1ccc(cc1)c2ccccc2,-2.7
CC[C@@H](C)CO,-4.42
C(CO[N+](=O)[O-])CO[N+](=O)[O-],-4.8
Cc1ccc(cc1)C(C)C,-0.68
CCCO,-4.85
CCCc1ccccc1,-0.53
CCCC(=C)C,1.47
CC(C)OC=O,-2.02
Cc1cccc(c1)C,-0.83
CCCCCCCCCC,3.16
CCOC(=O)c1ccccc1,-3.64
C=CCl,-0.59
c1ccc(c(c1)C=O)O,-4.68
CCS,-1.14
c1ccc(c(c1)O)F,-5.29
c1c(=O)[nH]c(=O)[nH]c1Cl,-15.83
CCCCCCCCCC(=O)C,-2.15
c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)N,-11.53
CC(C)SC(C)C,-1.21
c1cc(cc(c1)C(F)(F)F)C(F)(F)F,1.07
CCCCCC1CCCC1,2.55
CCCC(C)(C)C,2.88
c1ccc(cc1)CCO,-6.79
CCCCCCCCCCO,-3.64
c1ccsc1,-1.4
COS(=O)(=O)C,-4.87
c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.71
